delocated_monad,10km_location,location_qualifier,easting_sw_delocated,northing_sw_delocated,easting_centroid_delocated,northing_centroid_delocated,plot_number,fizz_test,fizz_test_qualifier,soil_moisture_content,soil_moisture_content_qualifier,ACYC_CO2,ACYC_CO2_qualifier,AKGA_CO2,AKGA_CO2_qualifier,ARA_CO2,ARA_CO2_qualifier,ARG_CO2,ARG_CO2_qualifier,CIT_CO2,CIT_CO2_qualifier,CYS_CO2,CYS_CO2_qualifier,FRU_CO2,FRU_CO2_qualifier,GABA_CO2,GABA_CO2_qualifier,GLU_CO2,GLU_CO2_qualifier,LYS_CO2,LYS_CO2_qualifier,MAL_CO2,MAL_CO2_qualifier,NAGA_CO2,NAGA_CO2_qualifier,OXA_CO2,OXA_CO2_qualifier,PRO_CO2,PRO_CO2_qualifier,TRE_CO2,TRE_CO2_qualifier,WAT_CO2,WAT_CO2_qualifier
SX07-X-56,SX07,Sample location delocated to a 10km square (see metadata),200000,70000,205000,75000,3,0,,25.52,,0.95,,11.26,,2.12,,1.06,,8.15,,1.88,,2.26,,1.24,,3.06,,1.36,,7.17,,1.6,,2.69,,1.78,,1.92,,0.58,
SX16-X-83,SX16,Sample location delocated to a 10km square (see metadata),210000,60000,215000,65000,1,0,,39.34,,1.47,,7.49,,3.51,,2.45,,4.2,,2.24,,4.48,,2.63,,5.39,,1.59,,5.26,,3.43,,2.46,,2.62,,4.11,,0.8,
SX16-X-83,SX16,Sample location delocated to a 10km square (see metadata),210000,60000,215000,65000,3,0,,38.48,,1.4,,7.13,,3.93,,2.8,,3.56,,2.47,,5.38,,2.95,,5.7,,1.73,,5.44,,3.55,,2.75,,3.1,,5.29,,0.93,
SX16-X-83,SX16,Sample location delocated to a 10km square (see metadata),210000,60000,215000,65000,4,0,,36.34,,1.69,,8.04,,4.31,,2.5,,4.1,,2.24,,5.3,,2.66,,5.94,,1.76,,5.77,,4.29,,3.1,,2.97,,4.66,,0.99,
SX26-X-02,SX26,Sample location delocated to a 10km square (see metadata),220000,60000,225000,65000,1,0,,36.23,,2.17,,10.69,,4.31,,3.31,,7.5,,2.17,,5.35,,3.05,,5.54,,1.95,,6.25,,3.67,,4.24,,3.42,,5.24,,1.23,
SX26-X-02,SX26,Sample location delocated to a 10km square (see metadata),220000,60000,225000,65000,4,0,,33.86,,1.16,,9.47,,2.29,,2.04,,5.94,,1.65,,2.85,,1.83,,3.14,,1.01,,4.73,,2.01,,3.94,,2.08,,2.43,,0.84,
SX47-X-43,SX47,Sample location delocated to a 10km square (see metadata),240000,70000,245000,75000,2,0,,45.62,,2.96,,15.29,,7.72,,6.68,,10.82,,4.17,,10.13,,5.16,,10.92,,2.86,,10.08,,7.55,,6.43,,6.65,,7.51,,1.86,
SX57-X-54,SX57,Sample location delocated to a 10km square (see metadata),250000,70000,255000,75000,1,0,,65.82,,3.14,,18.39,,10.79,,8.09,,8.25,,7,,12.6,,6.36,,13.19,,4.4,,12.06,,12.32,,7.59,,7.73,,9.03,,2.32,
SX57-X-54,SX57,Sample location delocated to a 10km square (see metadata),250000,70000,255000,75000,2,0,,44.84,,2.19,,7.76,,5.56,,5.93,,4.52,,4.12,,9.39,,4.54,,8.42,,2.61,,5.86,,6.48,,4.15,,6.08,,6.36,,1.3,
SX57-X-54,SX57,Sample location delocated to a 10km square (see metadata),250000,70000,255000,75000,3,0,,46.94,,1.99,,5.07,,3.67,,3.84,,2.42,,2.5,,4.75,,2.6,,4.5,,1.6,,4.32,,4.61,,4.2,,2.61,,4.29,,1.36,
SX57-X-54,SX57,Sample location delocated to a 10km square (see metadata),250000,70000,255000,75000,4,0,,42.24,,1.92,,6.74,,4.05,,3.47,,4.08,,2.9,,5.27,,2.87,,6.53,,2.3,,7.51,,5.17,,3.69,,3.93,,5.66,,1.33,
SX69-X-05,SX69,Sample location delocated to a 10km square (see metadata),260000,90000,265000,95000,2,0,,22.85,,0.75,,5.93,,1.69,,1.35,,4.15,,1.15,,2.6,,1.21,,2.81,,0.66,,2.86,,1.9,,1.32,,1.5,,2.04,,0.41,
SX69-X-05,SX69,Sample location delocated to a 10km square (see metadata),260000,90000,265000,95000,3,0,,28.62,,0.92,,5.21,,2.52,,1.63,,4.2,,1.6,,3.29,,1.6,,3.55,,0.79,,3.88,,2.12,,1.31,,1.87,,2.61,,0.56,
SX69-X-05,SX69,Sample location delocated to a 10km square (see metadata),260000,90000,265000,95000,4,0,,36.31,,1.46,,3.7,,3.13,,1.86,,2.67,,1.88,,3.71,,2.09,,4.03,,1.17,,3.82,,3.19,,1.67,,2.77,,3.16,,0.75,
SX69-X-05,SX69,Sample location delocated to a 10km square (see metadata),260000,90000,265000,95000,5,0,,36.14,,2.46,,6.27,,4.26,,3.14,,4.04,,2.64,,6.17,,2.67,,5.88,,1.76,,5.51,,4.31,,2.49,,3.93,,4.32,,0.92,
SX73-X-00,SX73,Sample location delocated to a 10km square (see metadata),270000,30000,275000,35000,1,0,,22.51,,0.97,,6.18,,2.18,,1.45,,2.97,,1.37,,3.2,,1.7,,3.13,,1,,2.95,,2.06,,1.86,,1.81,,2.67,,0.64,
SX73-X-00,SX73,Sample location delocated to a 10km square (see metadata),270000,30000,275000,35000,3,0,,23.45,,0.95,,6.29,,1.88,,1.6,,3.19,,1.24,,2.96,,1.66,,3.27,,0.96,,2.93,,2.48,,1.6,,1.65,,2.77,,0.72,
SX74-X-66,SX74,Sample location delocated to a 10km square (see metadata),270000,40000,275000,45000,3,1,,33.92,,2.83,,12.12,,5.69,,2.99,,6.45,,2.82,,7.53,,3.36,,7.77,,2.17,,7.94,,5.06,,3.1,,3.56,,5.77,,0.98,
SX74-X-66,SX74,Sample location delocated to a 10km square (see metadata),270000,40000,275000,45000,4,0,,30.35,,1.24,,8.02,,3.28,,2.47,,3.92,,1.97,,5.6,,2.55,,5.75,,1.29,,4.71,,3.79,,2.15,,3.15,,4.46,,0.7,
SX74-X-66,SX74,Sample location delocated to a 10km square (see metadata),270000,40000,275000,45000,5,0,,29.06,,1.47,,10.45,,3.56,,1.15,,5.08,,2.03,,4.52,,1.82,,4.22,,1.31,,4.3,,2.81,,2.45,,2.48,,3.69,,0.65,
SX74-X-66,SX74,Sample location delocated to a 10km square (see metadata),270000,40000,275000,45000,6,0,,34.53,,1.97,,8.49,,4.67,,2.02,,4.12,,2.61,,6.58,,3.04,,6.38,,1.6,,5.68,,4.83,,2.19,,3.13,,5.13,,0.99,
SY08-X-14,SY08,Sample location delocated to a 10km square (see metadata),300000,80000,305000,85000,1,0,,24.06,,1.12,,8.04,,2.73,,2.99,,5.89,,1.4,,3.14,,2.13,,4.31,,1.16,,4.1,,2.92,,2.66,,2.13,,3.61,,0.64,
SY08-X-14,SY08,Sample location delocated to a 10km square (see metadata),300000,80000,305000,85000,2,1,,18.86,,1.04,,7.66,,3.27,,2.15,,7.2,,1.05,,4.09,,1.74,,4.26,,0.97,,4.37,,2.69,,2.49,,2.08,,3.56,,0.52,
SY08-X-14,SY08,Sample location delocated to a 10km square (see metadata),300000,80000,305000,85000,3,0,,17.07,,0.6,,8.61,,1.88,,1.24,,4.92,,0.77,,2.25,,1.28,,2.63,,0.65,,3.35,,1.77,,2.47,,1.23,,2.16,,0.41,
SY08-X-14,SY08,Sample location delocated to a 10km square (see metadata),300000,80000,305000,85000,4,0,,19.66,,0.68,,7.22,,1.97,,1.42,,5.26,,0.81,,2.25,,1.48,,2.85,,0.65,,3.41,,1.75,,2.23,,1.12,,1.97,,0.45,
TA10-X-85,TA10,Sample location delocated to a 10km square (see metadata),510000,400000,515000,405000,1,1,,18.71,,0.59,,9.54,,1.89,,0.3,,8.02,,2.5,,2.67,,0.97,,3.31,,0.88,,7.2,,1.39,,3.68,,0.9,,1.66,,0.33,
TA10-X-85,TA10,Sample location delocated to a 10km square (see metadata),510000,400000,515000,405000,3,1,,13.48,,0.46,,7.55,,1.39,,0.26,,4.72,,1.56,,2.03,,0.68,,2.35,,0.57,,4.73,,1.1,,1.88,,0.81,,1.28,,0.31,
TA10-X-85,TA10,Sample location delocated to a 10km square (see metadata),510000,400000,515000,405000,4,1,,14.91,,0.71,,8.78,,2.06,,0.38,,6.64,,1.75,,2.76,,0.91,,3.43,,0.84,,5.96,,1.51,,2.58,,0.78,,1.97,,0.36,
TA10-X-85,TA10,Sample location delocated to a 10km square (see metadata),510000,400000,515000,405000,2,0,,15.97,,0.48,,7.15,,1.58,,0.29,,4.03,,1.23,,2.06,,0.79,,2.37,,0.75,,4.01,,1.11,,1.88,,0.84,,1.29,,0.32,
TA12-X-94,TA12,Sample location delocated to a 10km square (see metadata),510000,420000,515000,425000,2,1,,24.16,,0.95,,6.45,,1.98,,0.7,,3.84,,1.65,,2.87,,0.85,,3.17,,0.71,,3.38,,1.55,,1.12,,2.5,,2.07,,0.4,
TA14-X-65,TA14,Sample location delocated to a 10km square (see metadata),510000,440000,515000,445000,2,0,,23.6,,1.28,,5.29,,2.91,,2.35,,3.29,,1.71,,3.5,,2.1,,4.23,,1.42,,3.62,,2.53,,1.87,,2.1,,2.92,,1.29,
TA20-X-79,TA20,Sample location delocated to a 10km square (see metadata),520000,400000,525000,405000,1,0,,15.23,,1.05,,4.95,,1.9,,0.81,,2.68,,1.21,,2.6,,1.1,,2.38,,0.72,,2.23,,1.58,,0.99,,1.62,,2.04,,0.58,
TA20-X-79,TA20,Sample location delocated to a 10km square (see metadata),520000,400000,525000,405000,2,1,,16.53,,0.68,,7.01,,1.55,,0.37,,4,,1.66,,2.48,,0.74,,2.57,,0.79,,3.12,,1.21,,1.46,,1.46,,1.58,,0.42,
TA23-X-87,TA23,Sample location delocated to a 10km square (see metadata),520000,430000,525000,435000,1,0,,16.64,,0.51,,5.88,,1.53,,0.44,,3.75,,0.94,,1.95,,0.58,,2.01,,0.46,,2.15,,1.06,,0.92,,1.05,,1.54,,0.26,
TA23-X-87,TA23,Sample location delocated to a 10km square (see metadata),520000,430000,525000,435000,2,0,,17.72,,0.64,,3.07,,1.47,,0.7,,2.47,,0.96,,2.08,,0.64,,2.2,,0.38,,1.77,,1.12,,0.69,,1.06,,1.69,,0.25,
TA23-X-87,TA23,Sample location delocated to a 10km square (see metadata),520000,430000,525000,435000,3,0,,18.05,,0.82,,4.12,,1.56,,0.53,,2.07,,1.17,,2.46,,0.73,,2.34,,0.51,,2.12,,1.25,,0.85,,1.43,,1.97,,0.28,
TA23-X-87,TA23,Sample location delocated to a 10km square (see metadata),520000,430000,525000,435000,4,3,,14.99,,0.58,,5.04,,1.05,,0.39,,3.24,,1.48,,1.66,,0.51,,1.65,,0.53,,3.22,,0.78,,1.91,,0.64,,1.03,,0.32,
TF12-X-73,TF12,Sample location delocated to a 10km square (see metadata),510000,320000,515000,325000,1,0,,38,,1.05,,4.73,,2.11,,0.46,,3.77,,3.72,,3.84,,1.34,,4.09,,1.09,,4.83,,2.48,,2.23,,2.5,,3.02,,0.58,
TF12-X-73,TF12,Sample location delocated to a 10km square (see metadata),510000,320000,515000,325000,4,1,,38.23,,3.18,,8.14,,5.94,,1.75,,5.02,,4.96,,8.05,,3.08,,8.46,,2.18,,7.73,,5.55,,2.59,,3.96,,7,,1.11,
TF15-X-76,TF15,Sample location delocated to a 10km square (see metadata),510000,350000,515000,355000,2,0,,15.93,,1.79,,5.88,,3.31,,1.96,,3.73,,1.94,,4.63,,1.93,,4.81,,1.32,,4.48,,2.84,,1.64,,2.72,,3.31,,0.92,
TF15-X-76,TF15,Sample location delocated to a 10km square (see metadata),510000,350000,515000,355000,3,0,,24.48,,1.91,,4.64,,3.48,,2.7,,2.79,,2.46,,5.28,,2.39,,4.82,,1.59,,4.13,,2.81,,1.68,,3.22,,3.72,,1.02,
TF16-X-56,TF16,Sample location delocated to a 10km square (see metadata),510000,360000,515000,365000,2,1,,25.5,,0.72,,10.06,,2.04,,0.36,,5.96,,4.69,,3.46,,0.73,,2.75,,0.89,,5.56,,1.52,,5.93,,1.52,,1.71,,0.41,
TF16-X-56,TF16,Sample location delocated to a 10km square (see metadata),510000,360000,515000,365000,3,0,,27.36,,1.21,,12.13,,2.68,,0.56,,5.89,,3.93,,4.06,,1.11,,4.7,,1.02,,5.83,,2.54,,3.81,,2.16,,2.99,,0.51,
TF22-X-99,TF22,Sample location delocated to a 10km square (see metadata),520000,320000,525000,325000,2,1,,16.34,,0.67,,7.34,,1.78,,0.25,,5.02,,2.83,,2.99,,0.71,,2.93,,0.82,,4.99,,1.26,,3.39,,0.8,,1.5,,0.33,
TF22-X-99,TF22,Sample location delocated to a 10km square (see metadata),520000,320000,525000,325000,3,1,,14.61,,0.41,,4.76,,1.02,,0.23,,3.05,,1.12,,1.7,,0.48,,1.47,,0.42,,2.2,,0.61,,0.92,,0.55,,0.7,,0.26,
TF22-X-99,TF22,Sample location delocated to a 10km square (see metadata),520000,320000,525000,325000,4,1,,15.99,,0.35,,4.45,,0.83,,0.15,,3.61,,1.74,,1.56,,0.44,,1.52,,0.45,,3.56,,0.69,,2.61,,0.54,,0.69,,0.22,
TF23-X-61,TF23,Sample location delocated to a 10km square (see metadata),520000,330000,525000,335000,1,1,,17.82,,0.45,,8.28,,1.09,,0.23,,5.94,,2.82,,2.19,,0.63,,2.19,,0.56,,4.7,,0.85,,4.26,,0.73,,0.94,,0.27,
TF23-X-61,TF23,Sample location delocated to a 10km square (see metadata),520000,330000,525000,335000,2,5,,17.83,,0.46,,6.16,,1.2,,0.36,,4.6,,1.67,,2.46,,0.7,,2.74,,0.63,,4.69,,1.14,,1.6,,0.74,,1.29,,0.27,
TF23-X-61,TF23,Sample location delocated to a 10km square (see metadata),520000,330000,525000,335000,3,5,,16.42,,0.31,,3.59,,0.75,,0.22,,2.91,,0.82,,1.59,,0.42,,1.52,,0.41,,2.86,,0.57,,0.96,,0.46,,0.83,,0.23,
TF23-X-61,TF23,Sample location delocated to a 10km square (see metadata),520000,330000,525000,335000,4,5,,18.42,,0.42,,6.68,,1.11,,0.36,,4.38,,1.53,,2.13,,0.51,,2.27,,0.55,,4.14,,1.07,,1.77,,0.53,,1.4,,0.32,
TF27-X-98,TF27,Sample location delocated to a 10km square (see metadata),520000,370000,525000,375000,1,2,,16.6,,1.07,,6.81,,1.8,,0.82,,4.61,,2.13,,2.76,,1.04,,2.91,,0.95,,4.78,,1.55,,2.02,,1.85,,1.92,,0.6,
TF27-X-98,TF27,Sample location delocated to a 10km square (see metadata),520000,370000,525000,375000,4,0,,23.47,,1.92,,6,,3.55,,1.86,,4.23,,2.07,,5.17,,2.01,,4.65,,1.32,,3.74,,2.85,,1.88,,3.01,,4.12,,0.94,
TF29-X-04,TF29,Sample location delocated to a 10km square (see metadata),520000,390000,525000,395000,1,4,,20.42,,0.45,,3.75,,1.98,,0.51,,3.79,,0.41,,3.04,,1.38,,4.37,,0.64,,4.97,,1.57,,0.4,,0.41,,1.88,,0.28,
TF29-X-04,TF29,Sample location delocated to a 10km square (see metadata),520000,390000,525000,395000,2,4,,20.61,,0.46,,2.56,,1.77,,0.34,,2.14,,0.44,,2.33,,0.61,,3.33,,0.52,,3.15,,1.1,,0.43,,0.43,,1.61,,0.27,
TF29-X-04,TF29,Sample location delocated to a 10km square (see metadata),520000,390000,525000,395000,3,4,,20.05,,0.46,,2.95,,1.48,,0.38,,2.21,,0.47,,2.33,,0.63,,2.58,,0.49,,2.98,,1.16,,0.43,,0.44,,1.24,,0.28,
TF29-X-04,TF29,Sample location delocated to a 10km square (see metadata),520000,390000,525000,395000,4,0,,21.93,,0.73,,9.22,,2.14,,0.6,,7.24,,1.97,,2.86,,0.95,,3.16,,0.72,,5.52,,1.56,,1.95,,1.85,,2.05,,0.36,
TF29-X-04,TF29,Sample location delocated to a 10km square (see metadata),520000,390000,525000,395000,5,4,,20.98,,0.49,,2.46,,2.02,,0.79,,2.35,,0.46,,2.59,,1.53,,3.32,,0.71,,3.36,,1.86,,0.43,,0.5,,1.98,,0.33,
TF30-X-14,TF30,Sample location delocated to a 10km square (see metadata),530000,300000,535000,305000,4,0,,17.97,,0.69,,9.32,,1.9,,0.27,,6.9,,4.84,,2.98,,0.74,,2.91,,0.74,,6.18,,1.44,,5.73,,1.3,,1.55,,0.31,
TF30-X-14,TF30,Sample location delocated to a 10km square (see metadata),530000,300000,535000,305000,3,1,,24.02,,1.24,,7.18,,2.63,,0.67,,4.78,,2.81,,3.01,,1.02,,3.04,,0.81,,4.29,,1.73,,2.92,,2.2,,2.33,,0.48,
TF32-X-48,TF32,Sample location delocated to a 10km square (see metadata),530000,320000,535000,325000,1,2,,15.27,,0.31,,5.64,,0.62,,0.25,,3.36,,2.43,,1.13,,0.38,,1.1,,0.41,,3.56,,0.5,,2.41,,0.38,,0.56,,0.23,
TF35-X-06,TF35,Sample location delocated to a 10km square (see metadata),530000,350000,535000,355000,4,1,,17.08,,0.62,,7.68,,1.43,,0.33,,5.19,,2.73,,2.5,,0.73,,2.71,,0.74,,5.84,,1.21,,3.95,,1.28,,1.57,,0.33,
TF35-X-23,TF35,Sample location delocated to a 10km square (see metadata),530000,350000,535000,355000,2,1,,15.71,,0.59,,2.32,,0.82,,0.4,,1.02,,0.92,,1.53,,0.48,,1.61,,0.36,,1.16,,0.84,,0.47,,0.85,,1.15,,0.27,
TF35-X-23,TF35,Sample location delocated to a 10km square (see metadata),530000,350000,535000,355000,3,0,,36.82,,2.37,,4.62,,3.84,,2.99,,3.49,,2.89,,5.71,,3.24,,6.7,,1.71,,5.03,,4.6,,1.9,,3.28,,4.95,,1.32,
TF35-X-23,TF35,Sample location delocated to a 10km square (see metadata),530000,350000,535000,355000,4,1,,24.39,,0.99,,3.2,,1.73,,0.86,,1.77,,1.39,,3.06,,0.87,,2.88,,0.56,,1.96,,1.8,,0.76,,1.71,,2.43,,0.4,
TF40-X-88,TF40,Sample location delocated to a 10km square (see metadata),540000,300000,545000,305000,1,3,,16.17,,0.44,,5.19,,0.81,,0.42,,4.49,,1.5,,1.56,,1.15,,1.83,,0.56,,4.55,,1.08,,1.72,,0.7,,0.77,,0.3,
TF40-X-88,TF40,Sample location delocated to a 10km square (see metadata),540000,300000,545000,305000,2,3,,21.1,,0.38,,5.69,,0.74,,0.27,,4.37,,2.18,,1.4,,0.54,,1.2,,0.55,,4.79,,0.79,,2.78,,0.96,,0.78,,0.28,
TF40-X-88,TF40,Sample location delocated to a 10km square (see metadata),540000,300000,545000,305000,3,2,,18.11,,0.49,,5.89,,0.94,,0.39,,3.86,,1.99,,1.5,,0.56,,1.79,,0.53,,4.41,,0.8,,2.17,,0.59,,0.85,,0.3,
TF40-X-88,TF40,Sample location delocated to a 10km square (see metadata),540000,300000,545000,305000,4,1,,18.77,,0.35,,8.56,,0.7,,0.12,,6.68,,3.71,,1.35,,0.49,,1.37,,0.51,,6.59,,0.73,,5.09,,0.96,,0.63,,0.28,
TF41-X-84,TF41,Sample location delocated to a 10km square (see metadata),540000,310000,545000,315000,1,4,,18.28,,0.6,,4.56,,1.59,,0.43,,3.29,,1.03,,2.43,,0.81,,2.54,,0.76,,3.77,,1.29,,1.09,,0.8,,1.41,,0.31,
TF41-X-84,TF41,Sample location delocated to a 10km square (see metadata),540000,310000,545000,315000,2,4,,18.16,,0.4,,4.6,,0.84,,0.31,,3.14,,1.07,,1.42,,0.48,,1.38,,0.57,,3.35,,0.71,,1.33,,0.61,,0.72,,0.28,
TF41-X-84,TF41,Sample location delocated to a 10km square (see metadata),540000,310000,545000,315000,4,4,,18.98,,0.46,,3.22,,1.14,,0.25,,3.15,,1.05,,1.71,,0.62,,1.9,,0.64,,3.14,,0.92,,1.07,,0.76,,0.86,,0.32,
TF42-X-59,TF42,Sample location delocated to a 10km square (see metadata),540000,320000,545000,325000,2,1,,15.34,,0.68,,9.02,,1.87,,0.26,,6.27,,3.56,,2.71,,0.75,,2.95,,0.74,,6.31,,1.47,,4.65,,1.12,,2.15,,0.36,
TF42-X-59,TF42,Sample location delocated to a 10km square (see metadata),540000,320000,545000,325000,3,1,,16.42,,0.46,,9.48,,1.14,,0.23,,6.47,,3.63,,1.61,,0.58,,1.7,,0.57,,6.23,,0.83,,5.29,,0.84,,1.02,,0.35,
TF42-X-59,TF42,Sample location delocated to a 10km square (see metadata),540000,320000,545000,325000,4,0,,17.8,,0.45,,10.34,,1.02,,0.24,,8.55,,3.74,,1.73,,0.58,,1.43,,0.58,,7,,0.79,,6.11,,0.64,,0.89,,0.33,
TF50-X-06,TF50,Sample location delocated to a 10km square (see metadata),550000,300000,555000,305000,1,0,,29.56,,0.77,,6.57,,1.33,,0.37,,4.02,,2.82,,1.95,,0.85,,2.05,,0.88,,4.56,,1.08,,3.34,,1.94,,1.41,,0.44,
TF50-X-06,TF50,Sample location delocated to a 10km square (see metadata),550000,300000,555000,305000,3,3,,30.33,,0.66,,8.32,,1.16,,0.52,,5.45,,2.68,,1.91,,0.76,,1.91,,0.82,,5.82,,1.01,,2.96,,0.99,,1.04,,0.56,
TF55-X-05,TF55,Sample location delocated to a 10km square (see metadata),550000,350000,555000,355000,1,4,,20.23,,0.54,,3.36,,1.96,,0.42,,3.66,,0.66,,3.33,,1.1,,3.64,,0.58,,4.1,,1.82,,0.67,,0.74,,1.74,,0.3,
TF55-X-05,TF55,Sample location delocated to a 10km square (see metadata),550000,350000,555000,355000,2,4,,18.99,,0.38,,3.35,,1.31,,0.38,,2.74,,0.5,,2.47,,0.81,,2.68,,0.48,,3.43,,0.99,,0.49,,0.52,,1.02,,0.26,
TL01-X-11,TL01,Sample location delocated to a 10km square (see metadata),500000,210000,505000,215000,3,0,,16.75,,0.69,,6.94,,2.32,,0.8,,6.46,,0.97,,2.61,,1,,2.99,,0.68,,3.98,,1.51,,1.64,,0.87,,2.24,,0.33,
TL04-X-14,TL04,Sample location delocated to a 10km square (see metadata),500000,240000,505000,245000,2,0,,10.45,,0.44,,4.45,,0.8,,0.43,,3.35,,0.63,,0.98,,0.43,,1.1,,0.31,,1.5,,0.62,,0.71,,0.56,,0.78,,0.23,
TL12-X-01,TL12,Sample location delocated to a 10km square (see metadata),510000,220000,515000,225000,2,4,,20.75,,0.45,,2.11,,1.32,,0.32,,1.68,,0.46,,1.68,,0.54,,2.14,,0.55,,2.48,,0.84,,0.43,,0.44,,1.22,,0.33,
TL12-X-01,TL12,Sample location delocated to a 10km square (see metadata),510000,220000,515000,225000,3,4,,21.21,,0.62,,2.99,,1.93,,0.42,,2.46,,0.53,,2.43,,0.69,,3.16,,0.57,,3.49,,1.19,,0.61,,0.57,,1.56,,0.39,
TL12-X-01,TL12,Sample location delocated to a 10km square (see metadata),510000,220000,515000,225000,5,4,,21.25,,0.49,,2.54,,1.36,,0.36,,1.72,,0.45,,1.83,,0.58,,2.35,,0.59,,2.47,,0.82,,0.48,,0.42,,1.53,,0.33,
TL14-X-57,TL14,Sample location delocated to a 10km square (see metadata),510000,240000,515000,245000,1,0,,16.76,,1.36,,6.18,,2.64,,1.9,,4.07,,1.54,,3.34,,1.84,,3.76,,1.11,,3.47,,2.71,,1.77,,2.04,,3.69,,1.07,
TL14-X-57,TL14,Sample location delocated to a 10km square (see metadata),510000,240000,515000,245000,2,0,,11.36,,0.62,,4.92,,1.16,,0.44,,3.17,,1.31,,1.5,,0.85,,1.53,,0.91,,2.38,,1.05,,1.64,,1.08,,0.97,,0.45,
TL14-X-57,TL14,Sample location delocated to a 10km square (see metadata),510000,240000,515000,245000,3,1,,12.22,,0.47,,6,,0.88,,0.26,,4.28,,1.45,,1.27,,0.6,,1.35,,0.63,,3.76,,0.76,,1.53,,0.97,,0.8,,0.34,
TL14-X-57,TL14,Sample location delocated to a 10km square (see metadata),510000,240000,515000,245000,4,1,,13.53,,0.57,,7.39,,1.12,,0.32,,5.3,,2.25,,1.77,,0.68,,1.55,,0.78,,4.22,,0.9,,2.96,,0.87,,0.94,,0.45,
TL17-X-00,TL17,Sample location delocated to a 10km square (see metadata),510000,270000,515000,275000,3,0,,16.02,,0.68,,6.72,,1.91,,0.58,,4.24,,1.38,,2.81,,0.86,,3.01,,0.6,,4.06,,1.56,,1.27,,1.85,,2.44,,0.33,
TL17-X-00,TL17,Sample location delocated to a 10km square (see metadata),510000,270000,515000,275000,4,4,,18.34,,0.65,,2.56,,2.32,,0.49,,3.37,,0.79,,3.45,,0.68,,3.29,,0.61,,4.39,,1.3,,1.06,,1.74,,1.65,,0.43,
TL23-X-84,TL23,Sample location delocated to a 10km square (see metadata),520000,230000,525000,235000,1,4,,18.09,,0.65,,3.24,,2.02,,0.47,,2.87,,0.6,,3.6,,0.79,,4.03,,0.62,,4.56,,1.39,,0.64,,0.94,,2.14,,0.36,
TL23-X-84,TL23,Sample location delocated to a 10km square (see metadata),520000,230000,525000,235000,2,4,,15.72,,0.55,,2.96,,1.71,,0.39,,2.29,,0.53,,2.42,,0.78,,2.89,,0.6,,3.3,,1.06,,0.56,,0.55,,1.45,,0.34,
TL26-X-45,TL26,Sample location delocated to a 10km square (see metadata),520000,260000,525000,265000,2,4,,14.46,,0.61,,3.23,,1.39,,0.38,,3.15,,0.69,,2.19,,0.53,,2.41,,0.52,,3.34,,0.89,,1.03,,0.79,,1.35,,0.36,
TL26-X-45,TL26,Sample location delocated to a 10km square (see metadata),520000,260000,525000,265000,4,0,,13.59,,0.64,,3.68,,1.09,,0.7,,1.97,,0.79,,2.54,,0.68,,1.71,,0.4,,1.43,,1.15,,0.77,,0.84,,1.78,,0.33,
TL28-X-35,TL28,Sample location delocated to a 10km square (see metadata),520000,280000,525000,285000,2,4,,19.55,,1.15,,5.38,,2.68,,0.76,,5.02,,2.19,,4.05,,1.2,,4.77,,0.86,,5.66,,2.24,,2.35,,2.08,,3.39,,0.55,
TL28-X-35,TL28,Sample location delocated to a 10km square (see metadata),520000,280000,525000,285000,4,1,,33.06,,2.19,,4.79,,3.95,,1.63,,2.99,,3.46,,6.86,,2.48,,6.81,,1.13,,5.67,,3.76,,1.29,,3.89,,6.58,,0.61,
TL28-X-35,TL28,Sample location delocated to a 10km square (see metadata),520000,280000,525000,285000,1,0,,20.37,,0.92,,2.84,,1.47,,0.56,,2.33,,1.47,,2.78,,0.86,,3.11,,0.65,,2.73,,1.63,,0.85,,1.86,,2.13,,0.32,
TL35-X-92,TL35,Sample location delocated to a 10km square (see metadata),530000,250000,535000,255000,1,0,,22.87,,1.03,,8.26,,2.31,,0.62,,5.15,,2.55,,3.61,,1.15,,3.92,,1.05,,5.12,,1.8,,2.07,,3.03,,2.93,,0.55,
TL35-X-92,TL35,Sample location delocated to a 10km square (see metadata),530000,250000,535000,255000,2,4,,21.28,,0.76,,3.22,,2.27,,0.48,,2.61,,0.89,,3.03,,0.81,,3.27,,0.84,,4.08,,1.24,,0.8,,1.31,,1.69,,0.43,
TL35-X-92,TL35,Sample location delocated to a 10km square (see metadata),530000,250000,535000,255000,4,4,,15.06,,0.62,,3.22,,1.8,,0.51,,2.08,,0.79,,2.62,,0.68,,2.55,,0.63,,3.21,,0.89,,0.72,,0.97,,1.33,,0.48,
TL41-X-81,TL41,Sample location delocated to a 10km square (see metadata),540000,210000,545000,215000,4,1,,24.63,,1.3,,10.3,,3.08,,0.37,,8.51,,4.48,,4.6,,1.44,,5.1,,1.38,,8.65,,2.75,,4.82,,3.11,,3.71,,0.59,
TL41-X-81,TL41,Sample location delocated to a 10km square (see metadata),540000,210000,545000,215000,6,0,,16.58,,1.34,,5.69,,2.21,,1.35,,3.4,,1.12,,2.94,,1.38,,3.56,,0.65,,2.5,,2.16,,1.31,,1.94,,2.55,,0.5,
TL47-X-92,TL47,Sample location delocated to a 10km square (see metadata),540000,270000,545000,275000,1,2,,25.07,,0.84,,4.42,,1.98,,0.72,,3.21,,2.69,,3.11,,0.9,,2.81,,0.79,,4.44,,1.38,,1.67,,1.5,,2.11,,0.61,
