delocated_monad,10km_location,location_qualifier,easting_sw_delocated,northing_sw_delocated,easting_centroid_delocated,northing_centroid_delocated,plot_number,fizz_test,fizz_test_qualifier,soil_moisture_content,soil_moisture_content_qualifier,ACYC_CO2,ACYC_CO2_qualifier,AKGA_CO2,AKGA_CO2_qualifier,ARA_CO2,ARA_CO2_qualifier,ARG_CO2,ARG_CO2_qualifier,CIT_CO2,CIT_CO2_qualifier,CYS_CO2,CYS_CO2_qualifier,FRU_CO2,FRU_CO2_qualifier,GABA_CO2,GABA_CO2_qualifier,GLU_CO2,GLU_CO2_qualifier,LYS_CO2,LYS_CO2_qualifier,MAL_CO2,MAL_CO2_qualifier,NAGA_CO2,NAGA_CO2_qualifier,OXA_CO2,OXA_CO2_qualifier,PRO_CO2,PRO_CO2_qualifier,TRE_CO2,TRE_CO2_qualifier,WAT_CO2,WAT_CO2_qualifier
ST56-X-83,ST56,Sample location delocated to a 10km square (see metadata),350000,160000,355000,165000,5,0,,14.68,,1.72,,5.41,,3.49,,2.17,,3.1,,1.98,,4.94,,1.86,,5.26,,0.97,,4.88,,3.38,,1.21,,3.89,,4.09,,0.53,
ST58-X-97,ST58,Sample location delocated to a 10km square (see metadata),350000,180000,355000,185000,1,1,,32.45,,2.42,,8.24,,5.63,,3.14,,5.74,,2.65,,7.56,,2.95,,7.34,,1.73,,6.39,,4.83,,2.93,,4.7,,6.45,,0.8,
ST58-X-97,ST58,Sample location delocated to a 10km square (see metadata),350000,180000,355000,185000,2,0,,29.21,,1.93,,5.65,,4.27,,2.91,,3.3,,2.26,,6.24,,2.43,,5.83,,1.23,,5.98,,3.8,,1.98,,4.1,,4.8,,0.72,
ST58-X-97,ST58,Sample location delocated to a 10km square (see metadata),350000,180000,355000,185000,3,0,,22.83,,0.96,,4.87,,2.9,,1.81,,2.94,,1.38,,4.25,,1.78,,4.22,,0.84,,3.75,,2.41,,1.42,,2.17,,2.87,,0.5,
ST58-X-97,ST58,Sample location delocated to a 10km square (see metadata),350000,180000,355000,185000,4,1,,21,,1.34,,8.99,,3.2,,0.85,,6.03,,2.62,,4.15,,1.17,,4.58,,0.9,,6.6,,2.21,,3.01,,3.12,,2.46,,0.46,
ST64-X-50,ST64,Sample location delocated to a 10km square (see metadata),360000,140000,365000,145000,1,0,,31.21,,1.31,,9.1,,2.94,,2.97,,7.02,,1.71,,3.51,,2.1,,3.96,,1.26,,4.67,,2.53,,3.07,,2.55,,3.29,,0.82,
ST64-X-50,ST64,Sample location delocated to a 10km square (see metadata),360000,140000,365000,145000,2,0,,33.36,,2.39,,12.39,,5.96,,3.52,,10.61,,2.77,,6.57,,2.95,,6.83,,2.13,,7.59,,3.99,,4.3,,4.89,,5.18,,1.02,
ST64-X-50,ST64,Sample location delocated to a 10km square (see metadata),360000,140000,365000,145000,3,0,,30.63,,2.07,,9.11,,4.17,,3.95,,6.73,,2.52,,6.01,,3.23,,6.18,,1.99,,5.01,,4.33,,2.88,,2.98,,4.96,,1.29,
ST65-X-52,ST65,Sample location delocated to a 10km square (see metadata),360000,150000,365000,155000,1,0,,21.28,,0.81,,5.73,,2.33,,1.45,,4.9,,1.22,,2.6,,1.25,,2.67,,0.75,,3.09,,1.71,,2.07,,1.37,,1.86,,0.48,
ST65-X-52,ST65,Sample location delocated to a 10km square (see metadata),360000,150000,365000,155000,2,0,,22.01,,1.16,,7.09,,2.58,,1.29,,4.53,,1.42,,3.37,,1.42,,3.33,,0.93,,3.62,,2.39,,1.87,,1.96,,2.47,,0.55,
