delocated_monad,10km_location,location_qualifier,easting_sw_delocated,northing_sw_delocated,easting_centroid_delocated,northing_centroid_delocated,plot_number,fizz_test,fizz_test_qualifier,soil_moisture_content,soil_moisture_content_qualifier,ACYC_SIR,ACYC_SIR_qualifier,AKGA_SIR,AKGA_SIR_qualifier,ARA_SIR,ARA_SIR_qualifier,ARG_SIR,ARG_SIR_qualifier,CIT_SIR,CIT_SIR_qualifier,CYS_SIR,CYS_SIR_qualifier,FRU_SIR,FRU_SIR_qualifier,GABA_SIR,GABA_SIR_qualifier,GLU_SIR,GLU_SIR_qualifier,LYS_SIR,LYS_SIR_qualifier,MAL_SIR,MAL_SIR_qualifier,NAGA_SIR,NAGA_SIR_qualifier,OXA_SIR,OXA_SIR_qualifier,PRO_SIR,PRO_SIR_qualifier,TRE_SIR,TRE_SIR_qualifier
SP85-X-16,SP85,Sample location delocated to a 10km square (see metadata),480000,250000,485000,255000,3,0,,22.43,,0.58,,3.1,,1.78,,0.78,,2.35,,1.1,,2.54,,0.54,,2.5,,0.12,,2.01,,1.2,,0.57,,1.52,,2.53,
SP85-X-61,SP85,Sample location delocated to a 10km square (see metadata),480000,250000,485000,255000,1,1,,25.53,,1.56,,3.25,,2.69,,1.02,,1.92,,1.53,,4.04,,1.08,,4.4,,0.38,,3.21,,2.28,,0.84,,2.57,,3.26,
SP85-X-61,SP85,Sample location delocated to a 10km square (see metadata),480000,250000,485000,255000,2,1,,20.95,,0.9,,4.07,,2.09,,0.47,,2.81,,1.12,,2.94,,0.6,,2.9,,0.21,,1.92,,1.36,,0.68,,2.06,,2.41,
SP91-X-32,SP91,Sample location delocated to a 10km square (see metadata),490000,210000,495000,215000,3,4,,21.37,,0.23,,3.66,,2.03,,0.15,,3.91,,0.28,,3.23,,0.43,,4.02,,0.27,,5.29,,1.18,,0.41,,0.44,,2.03,
SP98-X-56,SP98,Sample location delocated to a 10km square (see metadata),490000,280000,495000,285000,2,0,,24.39,,0.68,,5.38,,1.82,,0.18,,3.65,,1.44,,2.86,,0.93,,3.17,,0.54,,3.97,,1.81,,1.13,,2.12,,2.1,
SP98-X-56,SP98,Sample location delocated to a 10km square (see metadata),490000,280000,495000,285000,4,1,,25.03,,0.75,,4.49,,1.85,,0.51,,3.01,,1.49,,2.83,,0.63,,3.12,,0.31,,2.77,,1.46,,0.67,,2.16,,2.17,
SS14-X-12,SS14,Sample location delocated to a 10km square (see metadata),210000,140000,215000,145000,5,,NULL,,NULL,,,,NULL,,NULL,,,,NULL,,,,NULL,,NULL,,NULL,,,,NULL,,NULL,,NULL,,NULL,,NULL
SS14-X-12,SS14,Sample location delocated to a 10km square (see metadata),210000,140000,215000,145000,1,0,,33.37,,0.15,,2.83,,1.85,,2.93,,2.91,,1.67,,4.01,,1.78,,4.45,,0.9,,5.75,,2.84,,0.94,,1.76,,3.01,
SS14-X-12,SS14,Sample location delocated to a 10km square (see metadata),210000,140000,215000,145000,4,0,,48.99,,0.68,,6.45,,2.94,,2.57,,5.59,,4.72,,8.4,,3.42,,7.95,,2.51,,9.9,,3.72,,3.85,,3.44,,7.66,
SS54-X-07,SS54,Sample location delocated to a 10km square (see metadata),250000,140000,255000,145000,1,0,,34.92,,0.74,,9.36,,3.25,,1.98,,4.33,,1.85,,4.82,,2.26,,5.31,,0.8,,5.58,,2.96,,2.68,,2.48,,3.81,
SS64-X-33,SS64,Sample location delocated to a 10km square (see metadata),260000,140000,265000,145000,2,0,,36.67,,0.23,,1.91,,1.1,,1.39,,1.44,,1.73,,2.13,,1.15,,2.77,,0.56,,6.08,,1.1,,1.32,,2.93,,2.75,
SS72-X-12,SS72,Sample location delocated to a 10km square (see metadata),270000,120000,275000,125000,1,0,,35.51,,0.55,,8.9,,3.67,,1.19,,6.11,,1.55,,5.03,,1.55,,5.54,,0.51,,5.91,,3.81,,2.87,,2.2,,3.88,
SS72-X-12,SS72,Sample location delocated to a 10km square (see metadata),270000,120000,275000,125000,2,0,,32.43,,0.83,,10.09,,4.2,,1.54,,5.48,,1.73,,5.83,,1.52,,6.19,,0.85,,6.9,,3.84,,3.73,,3.13,,5.09,
SS72-X-12,SS72,Sample location delocated to a 10km square (see metadata),270000,120000,275000,125000,4,0,,36.62,,0.45,,11.17,,4.43,,2.89,,7.34,,1.49,,5.14,,2.15,,5.93,,0.81,,7.28,,3.5,,3.49,,2.24,,3.83,
SS72-X-80,SS72,Sample location delocated to a 10km square (see metadata),270000,120000,275000,125000,1,0,,23.78,,0.77,,10.35,,2.23,,1.7,,7.4,,1.06,,3.57,,1.28,,3.87,,0.5,,3.72,,1.96,,1.87,,1.89,,2.32,
SS72-X-80,SS72,Sample location delocated to a 10km square (see metadata),270000,120000,275000,125000,2,0,,35.69,,0.75,,12.53,,4.72,,2.02,,6.64,,1.7,,6.74,,2.41,,6.78,,1.08,,6.47,,4.53,,4.04,,3.69,,4.63,
SS72-X-80,SS72,Sample location delocated to a 10km square (see metadata),270000,120000,275000,125000,3,0,,44.88,,0.83,,9.46,,5.06,,4.17,,5.68,,1.6,,7.51,,2.87,,7.89,,1.04,,6.47,,6.08,,3.59,,4.12,,4.75,
SS72-X-80,SS72,Sample location delocated to a 10km square (see metadata),270000,120000,275000,125000,4,0,,26.42,,0.74,,10.04,,3.18,,1.4,,6.71,,1.27,,3.96,,1.33,,4.58,,0.55,,4.6,,2.41,,2.28,,2.51,,2.95,
SS74-X-05,SS74,Sample location delocated to a 10km square (see metadata),270000,140000,275000,145000,1,0,,33.48,,0.49,,9.42,,3.76,,1.93,,5.5,,1.35,,5.06,,2.44,,6.15,,0.72,,8.4,,3.3,,3.26,,2.38,,4.31,
SS74-X-05,SS74,Sample location delocated to a 10km square (see metadata),270000,140000,275000,145000,3,0,,35.8,,0.73,,7.49,,3.45,,2.86,,4.35,,2.14,,4.71,,2.02,,5.26,,0.97,,6.43,,3.68,,3.65,,2.28,,4.67,
SS74-X-05,SS74,Sample location delocated to a 10km square (see metadata),270000,140000,275000,145000,5,0,,31.2,,0.2,,6.85,,1.6,,1.46,,3.49,,1.14,,2.61,,1.26,,2.88,,0.61,,5.08,,1.4,,2.59,,1.7,,2.24,
SS91-X-02,SS91,Sample location delocated to a 10km square (see metadata),290000,110000,295000,115000,1,0,,35.18,,0.57,,14.25,,4.13,,2.2,,9.74,,1.35,,5.48,,2.32,,5.74,,0.89,,9.51,,3.57,,5.4,,1.3,,3.55,
SS91-X-02,SS91,Sample location delocated to a 10km square (see metadata),290000,110000,295000,115000,2,0,,24.8,,1.02,,8.5,,3.65,,1.22,,6.37,,1.25,,5.4,,1.88,,5.61,,0.64,,4.67,,3.87,,1.76,,2.18,,3.69,
