delocated_monad,10km_location,location_qualifier,easting_sw_delocated,northing_sw_delocated,easting_centroid_delocated,northing_centroid_delocated,plot_number,fizz_test,fizz_test_qualifier,soil_moisture_content,soil_moisture_content_qualifier,ACYC_SIR,ACYC_SIR_qualifier,AKGA_SIR,AKGA_SIR_qualifier,ARA_SIR,ARA_SIR_qualifier,ARG_SIR,ARG_SIR_qualifier,CIT_SIR,CIT_SIR_qualifier,CYS_SIR,CYS_SIR_qualifier,FRU_SIR,FRU_SIR_qualifier,GABA_SIR,GABA_SIR_qualifier,GLU_SIR,GLU_SIR_qualifier,LYS_SIR,LYS_SIR_qualifier,MAL_SIR,MAL_SIR_qualifier,NAGA_SIR,NAGA_SIR_qualifier,OXA_SIR,OXA_SIR_qualifier,PRO_SIR,PRO_SIR_qualifier,TRE_SIR,TRE_SIR_qualifier
SU50-X-83,SU50,Sample location delocated to a 10km square (see metadata),450000,100000,455000,105000,2,1,,25.29,,0.99,,7.46,,2.25,,,NULL,5.9,,3.17,,3.46,,0.85,,3.73,,0.56,,6.73,,1.9,,2.96,,2.52,,3.31,
SU50-X-83,SU50,Sample location delocated to a 10km square (see metadata),450000,100000,455000,105000,4,1,,24.7,,0.56,,10.08,,2.66,,,NULL,6.89,,3.13,,3.53,,0.79,,4.59,,0.89,,8.05,,2.16,,4.21,,2.66,,3.37,
SU58-X-30,SU58,Sample location delocated to a 10km square (see metadata),450000,180000,455000,185000,3,4,,20.65,,0.22,,3.85,,1.65,,0.01,,2.57,,0.25,,2.33,,0.35,,3.02,,0.3,,3.49,,0.84,,0.39,,0.25,,1.22,
SU62-X-52,SU62,Sample location delocated to a 10km square (see metadata),460000,120000,465000,125000,5,4,,24.83,,0.29,,2.55,,2.16,,0.26,,1.77,,0.19,,2.66,,0.8,,3.38,,0.7,,2.75,,1.47,,0.12,,0.11,,2.44,
SU63-X-94,SU63,Sample location delocated to a 10km square (see metadata),460000,130000,465000,135000,1,0,,25.1,,0.57,,7.59,,2.7,,2.01,,5,,1.15,,3.95,,1.63,,4.34,,0.7,,4.35,,2.52,,2.73,,1.97,,2.93,
SU63-X-94,SU63,Sample location delocated to a 10km square (see metadata),460000,130000,465000,135000,2,0,,24.81,,0.82,,10.41,,3.88,,1.31,,8.34,,1.13,,4.37,,1.68,,4.65,,0.68,,5.13,,2.78,,4.71,,2.07,,3.78,
SU63-X-94,SU63,Sample location delocated to a 10km square (see metadata),460000,130000,465000,135000,3,1,,22,,0.76,,9.38,,2.59,,0.84,,7.26,,1.19,,3.36,,1.16,,4.13,,0.46,,4.56,,2.68,,2.48,,1.46,,2.19,
SU63-X-94,SU63,Sample location delocated to a 10km square (see metadata),460000,130000,465000,135000,4,0,,25.83,,0.45,,8.37,,3.67,,1.97,,6,,1.38,,4.29,,1.68,,3.74,,0.9,,4.6,,3.59,,2.85,,1.79,,3.88,
SU92-X-21,SU92,Sample location delocated to a 10km square (see metadata),490000,120000,495000,125000,2,1,,15.77,,0.37,,6.47,,1.23,,0.67,,3.62,,1.32,,2.04,,1.05,,2.13,,0.4,,2.34,,1.22,,1.79,,0.95,,1.79,
SU92-X-21,SU92,Sample location delocated to a 10km square (see metadata),490000,120000,495000,125000,3,1,,15.41,,0.24,,7.45,,1.05,,0.74,,4.27,,0.55,,1.6,,0.72,,1.98,,0.18,,2.24,,1.11,,1.09,,0.52,,1.06,
SW72-X-01,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,1,0,,24.27,,0.4,,4.47,,1.62,,1.22,,2.26,,1.02,,2.87,,1.15,,2.93,,0.39,,2.48,,2.27,,0.76,,1.23,,2.22,
SW72-X-01,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,2,0,,25.64,,0.2,,3.98,,1.14,,0.97,,1.71,,0.94,,2.11,,0.85,,2.3,,0.28,,1.88,,1.52,,0.78,,1.23,,1.72,
SW72-X-01,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,3,0,,28.28,,0.43,,3.91,,1.97,,1.5,,2.22,,1.12,,3.35,,1.6,,3.82,,0.41,,2.99,,2.72,,0.92,,1.23,,2.28,
SW72-X-01,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,4,0,,28.82,,0.23,,8.2,,2.44,,1.08,,6.22,,0.79,,3.11,,1.04,,3.55,,0.33,,5.02,,1.88,,1.98,,1.66,,1.96,
SW72-X-48,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,1,0,,25.8,,0.35,,6.22,,1.87,,1.09,,4.29,,0.85,,2.54,,1.01,,2.41,,0.35,,2.76,,1.48,,1.72,,0.98,,1.97,
SW72-X-48,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,3,0,,22.56,,0.19,,6.13,,1.77,,0.89,,3.83,,0.6,,2.19,,0.68,,2.23,,0.31,,2.96,,1.31,,1.42,,0.89,,1.81,
SW72-X-48,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,4,0,,26.7,,0.2,,6.69,,1.37,,1.09,,4.64,,0.64,,2.41,,0.79,,2.47,,0.24,,2.82,,1.65,,1.46,,1,,1.34,
SW72-X-48,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,6,0,,31.73,,0.38,,6.86,,2.56,,1.12,,4.81,,1.22,,3.42,,1.22,,3.25,,0.57,,3.87,,2.26,,1.97,,1.42,,2.47,
SW83-X-65,SW83,Sample location delocated to a 10km square (see metadata),180000,30000,185000,35000,1,0,,27.93,,0.52,,7.82,,1.87,,0.98,,5.31,,0.61,,2.46,,0.98,,2.4,,0.46,,2.41,,1.06,,1.13,,1.86,,2.01,
SW83-X-65,SW83,Sample location delocated to a 10km square (see metadata),180000,30000,185000,35000,2,0,,24.86,,0.2,,8.23,,1.57,,1.62,,5.1,,0.36,,2.27,,0.82,,3.6,,0.08,,3.27,,1.81,,0.74,,1.69,,2.53,
SW83-X-65,SW83,Sample location delocated to a 10km square (see metadata),180000,30000,185000,35000,3,0,,32.44,,0.77,,9.02,,2.58,,1.16,,4.63,,0.9,,3.35,,1.34,,3.35,,0.38,,2.91,,1.74,,1.34,,1.24,,3.09,
SW83-X-65,SW83,Sample location delocated to a 10km square (see metadata),180000,30000,185000,35000,4,0,,25.2,,0.55,,7.58,,2.16,,1.68,,4.77,,0.68,,2.97,,1.35,,3.55,,0.74,,3.29,,2.14,,0.98,,1.56,,2.7,
SW84-X-14,SW84,Sample location delocated to a 10km square (see metadata),180000,40000,185000,45000,1,0,,31.92,,0.45,,9.65,,2.78,,1.43,,5.18,,1.17,,3.7,,1.7,,3.99,,0.45,,4.24,,2.02,,2.34,,1.88,,3.54,
SW84-X-14,SW84,Sample location delocated to a 10km square (see metadata),180000,40000,185000,45000,2,0,,41.9,,1.19,,10.71,,4.44,,4.92,,6.72,,2.45,,7.03,,2.9,,7.89,,1.11,,6.91,,4.32,,2.12,,5.09,,5.73,
SW84-X-14,SW84,Sample location delocated to a 10km square (see metadata),180000,40000,185000,45000,3,0,,39.83,,1.16,,10.57,,5.29,,3.5,,6.87,,1.97,,6.86,,2.76,,6.66,,1.07,,6.51,,3.97,,2.34,,3.46,,5.12,
SW84-X-14,SW84,Sample location delocated to a 10km square (see metadata),180000,40000,185000,45000,4,0,,29.86,,0.57,,8.1,,2.08,,2,,5.21,,1.11,,2.88,,1.25,,3.18,,0.55,,3.08,,1.62,,1.4,,2.25,,2.35,
SX06-X-23,SX06,Sample location delocated to a 10km square (see metadata),200000,60000,205000,65000,1,2,,27.88,,0.22,,10.43,,1.53,,0.43,,6.55,,1.85,,2.74,,0.62,,3.12,,0.67,,6.6,,1.26,,1.6,,1.05,,1.52,
SX06-X-23,SX06,Sample location delocated to a 10km square (see metadata),200000,60000,205000,65000,2,1,,39.15,,1.73,,17,,5.23,,1.71,,13.19,,5.08,,8.35,,2.57,,9.04,,1.97,,13.25,,6.66,,4.9,,6.1,,4.3,
SX06-X-23,SX06,Sample location delocated to a 10km square (see metadata),200000,60000,205000,65000,3,1,,33.28,,1.23,,9.97,,3.66,,1.97,,6.74,,3.42,,6.21,,2.25,,5.37,,0.96,,7.44,,4.51,,2.82,,3.34,,4.26,
SX06-X-23,SX06,Sample location delocated to a 10km square (see metadata),200000,60000,205000,65000,4,1,,27.76,,0.41,,12.79,,2.11,,0.3,,6.05,,2.08,,3.37,,0.88,,3.74,,0.79,,7.41,,2.56,,1.94,,2.07,,2.3,
SX07-X-56,SX07,Sample location delocated to a 10km square (see metadata),200000,70000,205000,75000,3,0,,25.52,,0.37,,10.68,,1.54,,0.48,,7.57,,1.3,,1.67,,0.65,,2.48,,0.78,,6.59,,1.02,,2.1,,1.19,,1.34,
SX16-X-83,SX16,Sample location delocated to a 10km square (see metadata),210000,60000,215000,65000,1,0,,39.34,,0.66,,6.69,,2.71,,1.65,,3.4,,1.43,,3.68,,1.83,,4.59,,0.79,,4.46,,2.62,,1.66,,1.82,,3.3,
SX16-X-83,SX16,Sample location delocated to a 10km square (see metadata),210000,60000,215000,65000,3,0,,38.48,,0.47,,6.2,,2.99,,1.87,,2.63,,1.54,,4.45,,2.02,,4.77,,0.8,,4.51,,2.62,,1.82,,2.17,,4.36,
SX16-X-83,SX16,Sample location delocated to a 10km square (see metadata),210000,60000,215000,65000,4,0,,36.34,,0.69,,7.05,,3.32,,1.51,,3.1,,1.25,,4.31,,1.67,,4.95,,0.77,,4.77,,3.29,,2.11,,1.98,,3.67,
SX26-X-02,SX26,Sample location delocated to a 10km square (see metadata),220000,60000,225000,65000,1,0,,36.23,,0.94,,9.46,,3.07,,2.08,,6.27,,0.94,,4.12,,1.82,,4.31,,0.72,,5.02,,2.44,,3.01,,2.19,,4.01,
SX26-X-02,SX26,Sample location delocated to a 10km square (see metadata),220000,60000,225000,65000,4,0,,33.86,,0.32,,8.63,,1.45,,1.2,,5.1,,0.81,,2.01,,0.99,,2.3,,0.17,,3.89,,1.17,,3.1,,1.24,,1.59,
SX47-X-43,SX47,Sample location delocated to a 10km square (see metadata),240000,70000,245000,75000,2,0,,45.62,,1.1,,13.44,,5.87,,4.83,,8.97,,2.31,,8.27,,3.31,,9.07,,1,,8.22,,5.69,,4.57,,4.79,,5.66,
SX57-X-54,SX57,Sample location delocated to a 10km square (see metadata),250000,70000,255000,75000,1,0,,65.82,,0.81,,16.07,,8.47,,5.76,,5.93,,4.67,,10.28,,4.04,,10.86,,2.08,,9.73,,9.99,,5.27,,5.41,,6.71,
SX57-X-54,SX57,Sample location delocated to a 10km square (see metadata),250000,70000,255000,75000,2,0,,44.84,,0.89,,6.46,,4.26,,4.62,,3.21,,2.82,,8.09,,3.24,,7.11,,1.31,,4.56,,5.17,,2.84,,4.78,,5.05,
SX57-X-54,SX57,Sample location delocated to a 10km square (see metadata),250000,70000,255000,75000,3,0,,46.94,,0.63,,3.71,,2.31,,2.48,,1.06,,1.14,,3.39,,1.24,,3.14,,0.24,,2.96,,3.25,,2.84,,1.24,,2.93,
SX57-X-54,SX57,Sample location delocated to a 10km square (see metadata),250000,70000,255000,75000,4,0,,42.24,,0.59,,5.41,,2.72,,2.14,,2.75,,1.57,,3.94,,1.54,,5.2,,0.97,,6.18,,3.84,,2.36,,2.6,,4.33,
SX69-X-05,SX69,Sample location delocated to a 10km square (see metadata),260000,90000,265000,95000,2,0,,22.85,,0.33,,5.51,,1.28,,0.93,,3.74,,0.74,,2.19,,0.8,,2.39,,0.25,,2.44,,1.49,,0.91,,1.08,,1.63,
SX69-X-05,SX69,Sample location delocated to a 10km square (see metadata),260000,90000,265000,95000,3,0,,28.62,,0.35,,4.64,,1.96,,1.06,,3.64,,1.03,,2.73,,1.03,,2.98,,0.23,,3.31,,1.55,,0.75,,1.31,,2.04,
SX69-X-05,SX69,Sample location delocated to a 10km square (see metadata),260000,90000,265000,95000,4,0,,36.31,,0.72,,2.95,,2.38,,1.11,,1.92,,1.13,,2.96,,1.34,,3.28,,0.42,,3.07,,2.44,,0.92,,2.02,,2.41,
SX69-X-05,SX69,Sample location delocated to a 10km square (see metadata),260000,90000,265000,95000,5,0,,36.14,,1.55,,5.35,,3.34,,2.22,,3.13,,1.72,,5.25,,1.75,,4.97,,0.84,,4.6,,3.39,,1.58,,3.02,,3.4,
SX73-X-00,SX73,Sample location delocated to a 10km square (see metadata),270000,30000,275000,35000,1,0,,22.51,,0.33,,5.54,,1.53,,0.81,,2.33,,0.73,,2.56,,1.06,,2.49,,0.36,,2.31,,1.42,,1.22,,1.17,,2.03,
SX73-X-00,SX73,Sample location delocated to a 10km square (see metadata),270000,30000,275000,35000,3,0,,23.45,,0.23,,5.58,,1.16,,0.88,,2.47,,0.52,,2.24,,0.94,,2.55,,0.24,,2.21,,1.76,,0.88,,0.93,,2.05,
SX74-X-66,SX74,Sample location delocated to a 10km square (see metadata),270000,40000,275000,45000,3,1,,33.92,,1.85,,11.14,,4.71,,2.01,,5.47,,1.84,,6.55,,2.38,,6.79,,1.19,,6.96,,4.08,,2.12,,2.58,,4.79,
SX74-X-66,SX74,Sample location delocated to a 10km square (see metadata),270000,40000,275000,45000,4,0,,30.35,,0.54,,7.32,,2.58,,1.77,,3.22,,1.27,,4.9,,1.85,,5.05,,0.59,,4.01,,3.09,,1.45,,2.45,,3.76,
SX74-X-66,SX74,Sample location delocated to a 10km square (see metadata),270000,40000,275000,45000,5,0,,29.06,,0.82,,9.8,,2.91,,0.5,,4.43,,1.38,,3.87,,1.17,,3.57,,0.66,,3.65,,2.15,,1.8,,1.83,,3.04,
SX74-X-66,SX74,Sample location delocated to a 10km square (see metadata),270000,40000,275000,45000,6,0,,34.53,,0.98,,7.5,,3.68,,1.03,,3.13,,1.62,,5.59,,2.05,,5.39,,0.61,,4.69,,3.84,,1.2,,2.14,,4.14,
SY08-X-14,SY08,Sample location delocated to a 10km square (see metadata),300000,80000,305000,85000,1,0,,24.06,,0.49,,7.41,,2.1,,2.36,,5.25,,0.76,,2.5,,1.49,,3.67,,0.52,,3.46,,2.28,,2.03,,1.49,,2.98,
SY08-X-14,SY08,Sample location delocated to a 10km square (see metadata),300000,80000,305000,85000,2,1,,18.86,,0.53,,7.15,,2.75,,1.63,,6.68,,0.53,,3.58,,1.22,,3.74,,0.46,,3.85,,2.18,,1.98,,1.56,,3.04,
SY08-X-14,SY08,Sample location delocated to a 10km square (see metadata),300000,80000,305000,85000,3,0,,17.07,,0.19,,8.2,,1.47,,0.83,,4.51,,0.36,,1.84,,0.88,,2.22,,0.25,,2.94,,1.36,,2.06,,0.83,,1.76,
SY08-X-14,SY08,Sample location delocated to a 10km square (see metadata),300000,80000,305000,85000,4,0,,19.66,,0.22,,6.77,,1.52,,0.96,,4.8,,0.35,,1.8,,1.03,,2.4,,0.2,,2.95,,1.29,,1.78,,0.67,,1.52,
TA10-X-85,TA10,Sample location delocated to a 10km square (see metadata),510000,400000,515000,405000,1,1,,18.71,,0.26,,9.22,,1.56,,,NULL,7.69,,2.18,,2.34,,0.64,,2.98,,0.55,,6.87,,1.06,,3.35,,0.57,,1.33,
TA10-X-85,TA10,Sample location delocated to a 10km square (see metadata),510000,400000,515000,405000,3,1,,13.48,,0.16,,7.24,,1.09,,,NULL,4.42,,1.26,,1.73,,0.38,,2.04,,0.27,,4.42,,0.8,,1.58,,0.51,,0.98,
TA10-X-85,TA10,Sample location delocated to a 10km square (see metadata),510000,400000,515000,405000,4,1,,14.91,,0.35,,8.42,,1.7,,0.01,,6.27,,1.38,,2.4,,0.55,,3.07,,0.48,,5.6,,1.15,,2.22,,0.41,,1.6,
TA10-X-85,TA10,Sample location delocated to a 10km square (see metadata),510000,400000,515000,405000,2,0,,15.97,,0.16,,6.83,,1.26,,,NULL,3.7,,0.91,,1.74,,0.47,,2.05,,0.42,,3.69,,0.79,,1.56,,0.51,,0.97,
TA12-X-94,TA12,Sample location delocated to a 10km square (see metadata),510000,420000,515000,425000,2,1,,24.16,,0.55,,6.05,,1.58,,0.3,,3.44,,1.25,,2.47,,0.45,,2.77,,0.31,,2.98,,1.15,,0.72,,2.09,,1.67,
TA14-X-65,TA14,Sample location delocated to a 10km square (see metadata),510000,440000,515000,445000,2,0,,23.6,,,NULL,4,,1.61,,1.06,,2,,0.41,,2.21,,0.81,,2.94,,0.13,,2.33,,1.23,,0.57,,0.8,,1.62,
TA20-X-79,TA20,Sample location delocated to a 10km square (see metadata),520000,400000,525000,405000,1,0,,15.23,,0.47,,4.36,,1.32,,0.23,,2.1,,0.62,,2.01,,0.51,,1.8,,0.14,,1.65,,0.99,,0.41,,1.03,,1.45,
TA20-X-79,TA20,Sample location delocated to a 10km square (see metadata),520000,400000,525000,405000,2,1,,16.53,,0.26,,6.59,,1.13,,,NULL,3.57,,1.23,,2.06,,0.31,,2.15,,0.37,,2.7,,0.79,,1.04,,1.04,,1.16,
TA23-X-87,TA23,Sample location delocated to a 10km square (see metadata),520000,430000,525000,435000,1,0,,16.64,,0.26,,5.63,,1.27,,0.18,,3.5,,0.69,,1.7,,0.32,,1.75,,0.2,,1.9,,0.81,,0.67,,0.79,,1.28,
TA23-X-87,TA23,Sample location delocated to a 10km square (see metadata),520000,430000,525000,435000,2,0,,17.72,,0.39,,2.82,,1.22,,0.44,,2.22,,0.71,,1.83,,0.38,,1.95,,0.13,,1.52,,0.86,,0.44,,0.81,,1.44,
TA23-X-87,TA23,Sample location delocated to a 10km square (see metadata),520000,430000,525000,435000,3,0,,18.05,,0.54,,3.84,,1.28,,0.26,,1.79,,0.9,,2.18,,0.45,,2.06,,0.23,,1.84,,0.97,,0.57,,1.15,,1.69,
TA23-X-87,TA23,Sample location delocated to a 10km square (see metadata),520000,430000,525000,435000,4,3,,14.99,,0.26,,4.72,,0.73,,0.07,,2.92,,1.16,,1.34,,0.19,,1.33,,0.21,,2.9,,0.46,,1.59,,0.32,,0.71,
TF12-X-73,TF12,Sample location delocated to a 10km square (see metadata),510000,320000,515000,325000,1,0,,38,,0.47,,4.15,,1.53,,,NULL,3.19,,3.14,,3.26,,0.76,,3.51,,0.51,,4.25,,1.9,,1.65,,1.92,,2.44,
TF12-X-73,TF12,Sample location delocated to a 10km square (see metadata),510000,320000,515000,325000,4,1,,38.23,,2.07,,7.03,,4.84,,0.64,,3.91,,3.86,,6.94,,1.98,,7.35,,1.07,,6.62,,4.44,,1.48,,2.86,,5.9,
TF15-X-76,TF15,Sample location delocated to a 10km square (see metadata),510000,350000,515000,355000,2,0,,15.93,,0.87,,4.95,,2.39,,1.04,,2.8,,1.02,,3.71,,1.01,,3.89,,0.4,,3.55,,1.92,,0.71,,1.79,,2.39,
TF15-X-76,TF15,Sample location delocated to a 10km square (see metadata),510000,350000,515000,355000,3,0,,24.48,,0.89,,3.62,,2.46,,1.69,,1.77,,1.44,,4.26,,1.37,,3.8,,0.57,,3.11,,1.8,,0.67,,2.2,,2.71,
TF16-X-56,TF16,Sample location delocated to a 10km square (see metadata),510000,360000,515000,365000,2,1,,25.5,,0.31,,9.64,,1.62,,,NULL,5.55,,4.27,,3.04,,0.32,,2.33,,0.48,,5.14,,1.11,,5.52,,1.11,,1.3,
TF16-X-56,TF16,Sample location delocated to a 10km square (see metadata),510000,360000,515000,365000,3,0,,27.36,,0.7,,11.62,,2.18,,0.05,,5.38,,3.43,,3.55,,0.61,,4.19,,0.51,,5.33,,2.04,,3.31,,1.65,,2.48,
TF22-X-99,TF22,Sample location delocated to a 10km square (see metadata),520000,320000,525000,325000,2,1,,16.34,,0.34,,7.01,,1.45,,,NULL,4.69,,2.5,,2.66,,0.38,,2.6,,0.49,,4.66,,0.93,,3.06,,0.47,,1.17,
TF22-X-99,TF22,Sample location delocated to a 10km square (see metadata),520000,320000,525000,325000,3,1,,14.61,,0.16,,4.5,,0.77,,,NULL,2.79,,0.86,,1.44,,0.22,,1.21,,0.17,,1.94,,0.35,,0.67,,0.29,,0.44,
TF22-X-99,TF22,Sample location delocated to a 10km square (see metadata),520000,320000,525000,325000,4,1,,15.99,,0.14,,4.24,,0.61,,,NULL,3.4,,1.52,,1.34,,0.22,,1.31,,0.24,,3.35,,0.47,,2.39,,0.32,,0.48,
TF23-X-61,TF23,Sample location delocated to a 10km square (see metadata),520000,330000,525000,335000,1,1,,17.82,,0.18,,8.01,,0.82,,,NULL,5.67,,2.55,,1.92,,0.36,,1.92,,0.29,,4.43,,0.58,,3.99,,0.46,,0.67,
TF23-X-61,TF23,Sample location delocated to a 10km square (see metadata),520000,330000,525000,335000,2,5,,17.83,,0.19,,5.89,,0.93,,0.09,,4.33,,1.4,,2.19,,0.43,,2.47,,0.36,,4.42,,0.87,,1.33,,0.47,,1.02,
TF23-X-61,TF23,Sample location delocated to a 10km square (see metadata),520000,330000,525000,335000,3,5,,16.42,,0.07,,3.36,,0.52,,,NULL,2.68,,0.58,,1.35,,0.18,,1.29,,0.18,,2.62,,0.34,,0.73,,0.23,,0.6,
TF23-X-61,TF23,Sample location delocated to a 10km square (see metadata),520000,330000,525000,335000,4,5,,18.42,,0.1,,6.37,,0.79,,0.05,,4.06,,1.21,,1.81,,0.2,,1.95,,0.24,,3.82,,0.75,,1.46,,0.21,,1.08,
TF27-X-98,TF27,Sample location delocated to a 10km square (see metadata),520000,370000,525000,375000,1,2,,16.6,,0.47,,6.22,,1.2,,0.23,,4.01,,1.54,,2.17,,0.44,,2.32,,0.35,,4.19,,0.96,,1.42,,1.26,,1.33,
TF27-X-98,TF27,Sample location delocated to a 10km square (see metadata),520000,370000,525000,375000,4,0,,23.47,,0.99,,5.07,,2.61,,0.92,,3.29,,1.13,,4.23,,1.07,,3.72,,0.38,,2.81,,1.91,,0.95,,2.07,,3.18,
TF29-X-04,TF29,Sample location delocated to a 10km square (see metadata),520000,390000,525000,395000,1,4,,20.42,,0.17,,3.47,,1.7,,0.23,,3.51,,0.13,,2.76,,1.1,,4.09,,0.36,,4.69,,1.29,,0.12,,0.13,,1.6,
TF29-X-04,TF29,Sample location delocated to a 10km square (see metadata),520000,390000,525000,395000,2,4,,20.61,,0.19,,2.29,,1.5,,0.07,,1.87,,0.17,,2.06,,0.34,,3.06,,0.25,,2.88,,0.83,,0.16,,0.16,,1.34,
TF29-X-04,TF29,Sample location delocated to a 10km square (see metadata),520000,390000,525000,395000,3,4,,20.05,,0.18,,2.67,,1.2,,0.1,,1.92,,0.19,,2.05,,0.34,,2.3,,0.2,,2.7,,0.88,,0.15,,0.15,,0.96,
TF29-X-04,TF29,Sample location delocated to a 10km square (see metadata),520000,390000,525000,395000,4,0,,21.93,,0.37,,8.86,,1.78,,0.24,,6.88,,1.61,,2.51,,0.59,,2.81,,0.36,,5.16,,1.21,,1.59,,1.5,,1.7,
TF29-X-04,TF29,Sample location delocated to a 10km square (see metadata),520000,390000,525000,395000,5,4,,20.98,,0.16,,2.13,,1.69,,0.46,,2.02,,0.13,,2.27,,1.21,,2.99,,0.38,,3.04,,1.53,,0.1,,0.18,,1.65,
TF30-X-14,TF30,Sample location delocated to a 10km square (see metadata),530000,300000,535000,305000,4,0,,17.97,,0.38,,9.02,,1.6,,,NULL,6.59,,4.54,,2.68,,0.44,,2.6,,0.44,,5.87,,1.13,,5.42,,0.99,,1.24,
TF30-X-14,TF30,Sample location delocated to a 10km square (see metadata),530000,300000,535000,305000,3,1,,24.02,,0.77,,6.7,,2.15,,0.19,,4.3,,2.33,,2.54,,0.55,,2.57,,0.33,,3.81,,1.25,,2.44,,1.73,,1.85,
TF32-X-48,TF32,Sample location delocated to a 10km square (see metadata),530000,320000,535000,325000,1,2,,15.27,,0.07,,5.4,,0.39,,0.01,,3.13,,2.2,,0.89,,0.14,,0.86,,0.18,,3.32,,0.27,,2.18,,0.15,,0.32,
TF35-X-06,TF35,Sample location delocated to a 10km square (see metadata),530000,350000,535000,355000,4,1,,17.08,,0.29,,7.35,,1.1,,0,,4.86,,2.4,,2.17,,0.4,,2.38,,0.41,,5.51,,0.88,,3.62,,0.95,,1.24,
TF35-X-23,TF35,Sample location delocated to a 10km square (see metadata),530000,350000,535000,355000,2,1,,15.71,,0.32,,2.06,,0.55,,0.13,,0.76,,0.66,,1.26,,0.22,,1.34,,0.09,,0.89,,0.57,,0.2,,0.58,,0.88,
TF35-X-23,TF35,Sample location delocated to a 10km square (see metadata),530000,350000,535000,355000,3,0,,36.82,,1.05,,3.3,,2.51,,1.67,,2.17,,1.56,,4.39,,1.92,,5.38,,0.38,,3.7,,3.28,,0.58,,1.95,,3.63,
TF35-X-23,TF35,Sample location delocated to a 10km square (see metadata),530000,350000,535000,355000,4,1,,24.39,,0.59,,2.79,,1.33,,0.45,,1.36,,0.99,,2.66,,0.47,,2.48,,0.15,,1.56,,1.39,,0.35,,1.31,,2.02,
TF40-X-88,TF40,Sample location delocated to a 10km square (see metadata),540000,300000,545000,305000,1,3,,16.17,,0.14,,4.89,,0.51,,0.12,,4.19,,1.2,,1.26,,0.85,,1.53,,0.26,,4.25,,0.78,,1.42,,0.4,,0.47,
TF40-X-88,TF40,Sample location delocated to a 10km square (see metadata),540000,300000,545000,305000,2,3,,21.1,,0.1,,5.41,,0.47,,,NULL,4.1,,1.9,,1.12,,0.27,,0.92,,0.28,,4.52,,0.51,,2.5,,0.69,,0.5,
TF40-X-88,TF40,Sample location delocated to a 10km square (see metadata),540000,300000,545000,305000,3,2,,18.11,,0.19,,5.59,,0.64,,0.09,,3.56,,1.7,,1.2,,0.26,,1.49,,0.24,,4.11,,0.5,,1.87,,0.29,,0.55,
TF40-X-88,TF40,Sample location delocated to a 10km square (see metadata),540000,300000,545000,305000,4,1,,18.77,,0.08,,8.28,,0.42,,,NULL,6.4,,3.43,,1.07,,0.21,,1.09,,0.23,,6.31,,0.45,,4.82,,0.69,,0.36,
TF41-X-84,TF41,Sample location delocated to a 10km square (see metadata),540000,310000,545000,315000,1,4,,18.28,,0.28,,4.24,,1.27,,0.12,,2.97,,0.72,,2.12,,0.5,,2.23,,0.45,,3.45,,0.98,,0.78,,0.49,,1.1,
TF41-X-84,TF41,Sample location delocated to a 10km square (see metadata),540000,310000,545000,315000,2,4,,18.16,,0.12,,4.32,,0.56,,0.03,,2.86,,0.79,,1.14,,0.2,,1.1,,0.29,,3.07,,0.43,,1.05,,0.33,,0.44,
TF41-X-84,TF41,Sample location delocated to a 10km square (see metadata),540000,310000,545000,315000,4,4,,18.98,,0.15,,2.9,,0.82,,,NULL,2.83,,0.73,,1.39,,0.31,,1.58,,0.32,,2.82,,0.6,,0.76,,0.44,,0.54,
TF42-X-59,TF42,Sample location delocated to a 10km square (see metadata),540000,320000,545000,325000,2,1,,15.34,,0.32,,8.65,,1.5,,,NULL,5.91,,3.2,,2.34,,0.39,,2.58,,0.37,,5.94,,1.1,,4.28,,0.75,,1.79,
TF42-X-59,TF42,Sample location delocated to a 10km square (see metadata),540000,320000,545000,325000,3,1,,16.42,,0.11,,9.13,,0.79,,,NULL,6.12,,3.29,,1.26,,0.23,,1.36,,0.22,,5.88,,0.48,,4.94,,0.49,,0.67,
TF42-X-59,TF42,Sample location delocated to a 10km square (see metadata),540000,320000,545000,325000,4,0,,17.8,,0.12,,10.02,,0.69,,,NULL,8.23,,3.41,,1.41,,0.25,,1.11,,0.25,,6.67,,0.46,,5.78,,0.31,,0.56,
TF50-X-06,TF50,Sample location delocated to a 10km square (see metadata),550000,300000,555000,305000,1,0,,29.56,,0.33,,6.12,,0.89,,,NULL,3.58,,2.38,,1.51,,0.41,,1.6,,0.43,,4.11,,0.63,,2.89,,1.49,,0.97,
TF50-X-06,TF50,Sample location delocated to a 10km square (see metadata),550000,300000,555000,305000,3,3,,30.33,,0.1,,7.76,,0.6,,,NULL,4.89,,2.12,,1.34,,0.2,,1.35,,0.26,,5.26,,0.45,,2.4,,0.43,,0.48,
